size,code_id,scope,EbNo_dB,metric,difference_definition,mean_paired_difference,seed_batch_sd,seed_batch_sem,ci95_low,ci95_high,n_seed_batches,ci_excludes_zero_in_additive_direction
N288_M144,C00,per_EbNo,2.5,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.961,0.023781411975649314,0.007520342781785658,0.9439878027090655,0.9780121972909345,10,1
N288_M144,C00,per_EbNo,3.0,BER,pSA_minus_additive; positive_favors_additive,0.31678124999999996,0.00347426830147358,0.0010986601035181042,0.3142959081772845,0.31926659182271544,10,1
N288_M144,C00,per_EbNo,3.0,FER,pSA_minus_additive; positive_favors_additive,0.991,0.008755950357709139,0.0027688746209726936,0.9847363704431217,0.9972636295568783,10,1
N288_M144,C00,per_EbNo,3.0,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.993,0.008232726023485654,0.0026034165586355535,0.9871106625839896,0.9988893374160104,10,1
N288_M144,C00,pooled_across_EbNo,,BER,pSA_minus_additive; positive_favors_additive,0.31506712962962957,0.0023304883469890724,0.0007369651236966277,0.3133999986962856,0.31673426056297355,10,1
N288_M144,C00,pooled_across_EbNo,,FER,pSA_minus_additive; positive_favors_additive,0.9293333333333335,0.011088866622110788,0.003506607519568774,0.921400836015623,0.937265830651044,10,1
N288_M144,C00,pooled_across_EbNo,,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.9306666666666666,0.01235283743083313,0.003906310184721536,0.921829979101969,0.9395033542313643,10,1
N288_M144,C01,per_EbNo,2.0,BER,pSA_minus_additive; positive_favors_additive,0.30995833333333334,0.005552801207653198,0.0017559499210317705,0.3059860986418582,0.31393056802480845,10,1
N288_M144,C01,per_EbNo,2.0,FER,pSA_minus_additive; positive_favors_additive,0.829,0.04175324338699131,0.013203534880225572,0.7991315289957037,0.8588684710042962,10,1
N288_M144,C01,per_EbNo,2.0,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.834,0.04376706016578627,0.013840359661351128,0.8026909312555975,0.8653090687444024,10,1
N288_M144,C01,per_EbNo,2.5,BER,pSA_minus_additive; positive_favors_additive,0.31719791666666663,0.004985593367407444,0.0015765830528436202,0.31363143802084203,0.32076439531249124,10,1
N288_M144,C01,per_EbNo,2.5,FER,pSA_minus_additive; positive_favors_additive,0.952,0.019321835661585907,0.006110100926607783,0.9381779914231126,0.9658220085768873,10,1
N288_M144,C01,per_EbNo,2.5,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.9549999999999998,0.015811388300841882,0.004999999999999995,0.9436892141857294,0.9663107858142703,10,1
N288_M144,C01,per_EbNo,3.0,BER,pSA_minus_additive; positive_favors_additive,0.3158020833333333,0.004194334898107563,0.0013263651547550162,0.31280163689794416,0.3188025297687225,10,1
N288_M144,C01,per_EbNo,3.0,FER,pSA_minus_additive; positive_favors_additive,0.984,0.008432740427115686,0.0026666666666666687,0.9779675808990557,0.9900324191009443,10,1
N288_M144,C01,per_EbNo,3.0,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.9880000000000001,0.009189365834726824,0.0029059326290271185,0.9814263236884749,0.9945736763115253,10,1
N288_M144,C01,pooled_across_EbNo,,BER,pSA_minus_additive; positive_favors_additive,0.3143194444444445,0.00346933521954412,0.0010971001260399729,0.311837631535955,0.31680125735293396,10,1
N288_M144,C01,pooled_across_EbNo,,FER,pSA_minus_additive; positive_favors_additive,0.9216666666666666,0.01694216742441879,0.0053575837561071985,0.909546970197198,0.9337863631361353,10,1
N288_M144,C01,pooled_across_EbNo,,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.9256666666666667,0.017072828748672005,0.005398902494780595,0.913453500716548,0.9378798326167855,10,1
N288_M144,C02,per_EbNo,2.0,BER,pSA_minus_additive; positive_favors_additive,0.3100694444444444,0.004265482068546531,0.0013488638655213504,0.3070181023893402,0.3131207864995486,10,1
N288_M144,C02,per_EbNo,2.0,FER,pSA_minus_additive; positive_favors_additive,0.8320000000000001,0.0161932770686548,0.005120763831912397,0.8204160274183553,0.8435839725816449,10,1
N288_M144,C02,per_EbNo,2.0,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.833,0.01636391694484474,0.005174724898753332,0.8212939590044857,0.8447060409955143,10,1
N288_M144,C02,per_EbNo,2.5,BER,pSA_minus_additive; positive_favors_additive,0.3190486111111111,0.004122327094686089,0.0013035942879432638,0.31609967595518457,0.32199754626703764,10,1
N288_M144,C02,per_EbNo,2.5,FER,pSA_minus_additive; positive_favors_additive,0.9549999999999998,0.011785113019775802,0.0037267799624996524,0.9465694380134502,0.9634305619865495,10,1
N288_M144,C02,per_EbNo,2.5,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.9549999999999998,0.011785113019775802,0.0037267799624996524,0.9465694380134502,0.9634305619865495,10,1
N288_M144,C02,per_EbNo,3.0,BER,pSA_minus_additive; positive_favors_additive,0.31645138888888885,0.0035231907331830362,0.0011141307348056968,0.3139310500667922,0.3189717277109855,10,1
N288_M144,C02,per_EbNo,3.0,FER,pSA_minus_additive; positive_favors_additive,0.992,0.011352924243950943,0.003590109871423005,0.9838786072389273,1.0001213927610728,10,1
N288_M144,C02,per_EbNo,3.0,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.993,0.010593499054713811,0.0033499585403736327,0.9854218672926295,1.0005781327073704,10,1
N288_M144,C02,pooled_across_EbNo,,BER,pSA_minus_additive; positive_favors_additive,0.3151898148148148,0.001028135712336279,0.0003251250594742318,0.3144543308327018,0.31592529879692777,10,1
N288_M144,C02,pooled_across_EbNo,,FER,pSA_minus_additive; positive_favors_additive,0.9263333333333333,0.00637316906653331,0.002015373016357445,0.9217742428285575,0.9308924238381092,10,1
N288_M144,C02,pooled_across_EbNo,,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.9269999999999999,0.00656402466121861,0.0020757268546965925,0.9223043796275194,0.9316956203724804,10,1
N288_M144,C03,per_EbNo,2.0,BER,pSA_minus_additive; positive_favors_additive,0.31322222222222224,0.00313145766248031,0.0009902538609824576,0.31098211235755685,0.3154623320868876,10,1
N288_M144,C03,per_EbNo,2.0,FER,pSA_minus_additive; positive_favors_additive,0.8460000000000001,0.03893013685508383,0.012310790208412926,0.8181510577496447,0.8738489422503555,10,1
N288_M144,C03,per_EbNo,2.0,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.8470000000000001,0.037727090178455776,0.011930353445448856,0.8200116654979969,0.8739883345020033,10,1
N288_M144,C03,per_EbNo,2.5,BER,pSA_minus_additive; positive_favors_additive,0.31909027777777776,0.003143284982870475,0.000993993988087405,0.3168417071577919,0.3213388483977636,10,1
N288_M144,C03,per_EbNo,2.5,FER,pSA_minus_additive; positive_favors_additive,0.9559999999999998,0.023664319132398446,0.007483314773547876,0.9390715658831266,0.9729284341168731,10,1
N288_M144,C03,per_EbNo,2.5,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.9569999999999999,0.022135943621178655,0.006999999999999999,0.9411648998600212,0.9728351001399785,10,1
N288_M144,C03,per_EbNo,3.0,BER,pSA_minus_additive; positive_favors_additive,0.31547916666666664,0.002410899354927214,0.0007623933171000685,0.31375451316347663,0.31720382016985665,10,1
