size,variant,implementation_mode,lambda_mem,seed,trial_index,n_cycles,correct_residence_fraction,correct_remaining_cycles_after_hit,correct_cycles_after_hit,correct_escape_probability,correct_transition_opportunities,correct_escape_count,correct_return_probability,correct_return_count,correct_mean_return_time,correct_first_residence_time,correct_first_residence_censored,relaxed_basin_residence_fraction,relaxed_basin_escape_probability,late_channel_alignment,late_channel_alignment_gap_to_transmitted,late_hard_channel_disagreement_rate,mean_state_BER,late_state_BER,mean_syndrome_weight_fraction,late_syndrome_weight_fraction,mean_bit_flip_rate,late_bit_flip_rate,mean_backflip_rate,late_backflip_rate
N192_M96,pSA,pSA,0.0,20268848,10,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3181832418310749,0.3334461886714573,0.31423394097222224,0.3415304904513889,0.34048828125,0.43503255208333336,0.4342317708333333,0.197294921875,0.19607096354166667,0.1498227768421816,0.14864106694219908
N192_M96,pSA,pSA,0.0,20268848,11,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.32621812748221546,0.35627299685039665,0.31075737847222223,0.3328106011284722,0.3311176215277778,0.4323725043402778,0.4318793402777778,0.19459879557291668,0.1935763888888889,0.1458455473690459,0.1447094358721466
N192_M96,pSA,pSA,0.0,20268848,12,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3256391222059649,0.36158579794846163,0.31070638020833335,0.33330403645833334,0.33346245659722223,0.4335991753472222,0.43511501736111113,0.19514594184027778,0.19595052083333334,0.1463622337629365,0.14699021128835593
N192_M96,pSA,pSA,0.0,20268848,13,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.32226396769143484,0.3713959317741585,0.3144162326388889,0.330224609375,0.3291254340277778,0.43337999131944444,0.4337717013888889,0.1952444118923611,0.19468858506944445,0.1457644073734324,0.14510345586082748
N192_M96,pSA,pSA,0.0,20268848,14,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3181820823688249,0.36291341544449046,0.3136794704861111,0.3348947482638889,0.33423719618055553,0.43428385416666665,0.43445963541666666,0.19663845486111112,0.19628255208333334,0.14783540708572399,0.14742096831235546
N192_M96,pSA,pSA,0.0,20268848,15,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3224294763816705,0.3798347289573046,0.3134689670138889,0.32763997395833333,0.3282606336805556,0.43296332465277776,0.43307508680555556,0.19524359809027778,0.1951953125,0.14519961785433602,0.14528064459330886
N192_M96,pSA,pSA,0.0,20268848,16,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.29738824543376796,0.34243377047497936,0.32351671006944444,0.3473193359375,0.345595703125,0.4386013454861111,0.43854383680555553,0.2008327907986111,0.19984049479166666,0.15386204288249497,0.15269174139120284
N192_M96,pSA,pSA,0.0,20268848,17,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3407370430429187,0.3709675179153293,0.30344184027777776,0.3224894205729167,0.3220855034722222,0.42876247829861114,0.4290321180555556,0.1911395941840278,0.1911328125,0.14106870742470673,0.14097577684090568
N192_M96,pSA,pSA,0.0,20268848,18,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3153486126657964,0.34840556158818065,0.31669270833333335,0.33997314453125,0.339765625,0.43481608072916667,0.4339019097222222,0.1969265407986111,0.19724717881944445,0.14918993073693063,0.14938066884806214
N192_M96,pSA,pSA,0.0,20268848,19,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.336101277808926,0.3715376105687302,0.30664171006944446,0.3258759223090278,0.32451497395833334,0.4307503255208333,0.4307400173611111,0.19299207899305557,0.19304578993055554,0.14315318552545647,0.14289707195774676
