size,anchor,variant,implementation_mode,lambda_mem,seed,EbNo_dB,BER,FER,syndrome_violation_rate,avg_syndrome_weight,BP_BER,BP_FER,n_trials,n_bits_total
N96_M48,lambda,additive,lambda_pSA,0.8,20316980,3.0,0.006958333333333334,0.116,0.024,0.164,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.9,20260826,2.0,0.030666666666666665,0.288,0.128,1.792,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.9,20260826,2.5,0.01175,0.168,0.04,0.384,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.9,20260826,3.0,0.00675,0.104,0.016,0.112,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.9,20268848,2.0,0.028708333333333332,0.316,0.156,1.756,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.9,20268848,2.5,0.013166666666666667,0.176,0.06,0.72,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.9,20268848,3.0,0.004333333333333333,0.096,0.004,0.008,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.9,20276870,2.0,0.021958333333333333,0.244,0.116,1.356,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.9,20276870,2.5,0.013916666666666667,0.196,0.064,0.568,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.9,20276870,3.0,0.006333333333333333,0.136,0.024,0.216,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.9,20284892,2.0,0.028375,0.272,0.132,1.644,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.9,20284892,2.5,0.01425,0.164,0.056,0.616,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.9,20284892,3.0,0.006166666666666667,0.132,0.032,0.304,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.9,20292914,2.0,0.02666666666666667,0.276,0.124,1.624,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.9,20292914,2.5,0.015583333333333333,0.184,0.088,0.904,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.9,20292914,3.0,0.006083333333333333,0.132,0.016,0.096,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.9,20300936,2.0,0.02725,0.28,0.088,1.008,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.9,20300936,2.5,0.013708333333333333,0.188,0.068,0.708,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.9,20300936,3.0,0.004083333333333333,0.088,0.016,0.136,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.9,20308958,2.0,0.029,0.26,0.116,1.44,0.025252083333333335,0.26,250,24000
