size,variant,implementation_mode,lambda_mem,seed,EbNo_dB,trial_index,n_cycles,decoded_BER,decoded_FER,decoded_syndrome_weight,final_state_BER,final_syndrome_weight,mean_syndrome_weight,syndrome_zero_fraction,mean_bit_flip_rate,mean_backflip_rate,mean_repair_rate,mean_q_lag1_product,mean_q_lag1_cosine,mean_q_sign_persistence,mean_q_used_source_product,late_syndrome_weight,late_syndrome_weight_fraction,late_syndrome_zero_fraction,late_state_BER,late_bit_flip_rate,late_backflip_rate,late_repair_rate,late_q_lag1_product,late_q_lag1_cosine,late_q_sign_persistence,late_q_used_source_product,max_abs_memory_source_mean_delta,max_abs_memory_source_second_moment_delta
N96_M48,normalized,lambda_pSA_normalized,0.95,20292914,2.0,8,25600,0.15625,1,15,0.2916666666666667,26,18.1033203125,0.0,0.07313883463541666,0.05305096002007113,0.11770044197086266,0.5692420808164297,0.8837574131669003,0.9399540136331265,0.5692420808164297,16.75,0.3489583333333333,0.0,0.26838541666666665,0.058972981770833335,0.04030638010086606,0.10985912076316157,0.6831766441378299,0.8974538991181158,0.946318359375,0.6831766441378299,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20292914,2.0,9,25600,0.125,1,22,0.2916666666666667,18,18.144375,0.0,0.07256184895833333,0.052054796120223554,0.1197101986242892,0.5691365927954066,0.8857396906111873,0.9418904950269408,0.5691365927954066,16.84765625,0.3509928385416667,0.0,0.2592594401041667,0.05868001302083333,0.039599913865463125,0.11319037276048663,0.680736285055345,0.8992332889787683,0.947958984375,0.680736285055345,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20292914,2.0,10,25600,0.09375,1,17,0.20833333333333334,12,17.8536328125,0.0,0.07049072265625,0.04929632380773489,0.12362665981691176,0.579133331276981,0.8927848694131642,0.9450328748703807,0.579133331276981,16.40984375,0.34187174479166665,0.0,0.23812337239583334,0.055992838541666666,0.03674665720993726,0.11757106826244164,0.6968931587109818,0.9073270560986976,0.9517154947916666,0.6968931587109818,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20292914,2.0,11,25600,0.09375,1,17,0.20833333333333334,16,18.5175,0.0,0.07547281901041666,0.053876027094016794,0.1259433360217901,0.5567206056492202,0.8773666868420987,0.9380382916292764,0.5567206056492202,17.22140625,0.358779296875,0.0,0.25373209635416666,0.06087890625,0.04079091141068114,0.11996202474806114,0.6698602557671461,0.8926488825468915,0.9444694010416667,0.6698602557671461,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20292914,2.0,12,25600,0.10416666666666667,1,16,0.34375,19,18.5821875,0.0,0.07612019856770834,0.055474788527799974,0.12122496212813326,0.5519379759382511,0.8739876806881284,0.9361288589730025,0.5519379759382511,17.41,0.36270833333333335,0.0,0.27147786458333334,0.06226236979166667,0.04273401160842348,0.11466839334748252,0.6628210675046925,0.8884428513165933,0.9424055989583333,0.6628210675046925,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20292914,2.0,13,25600,0.09375,1,19,0.2916666666666667,20,18.34671875,0.0,0.07297444661458333,0.0524201186614687,0.1200260175484617,0.5647948382923009,0.8859173043595294,0.9439141773004966,0.5647948382923009,17.2225,0.35880208333333335,0.0,0.26551432291666666,0.05949381510416667,0.04050948752096827,0.11201363388363382,0.6728868627498658,0.8982739982891367,0.9490397135416667,0.6728868627498658,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20292914,2.0,14,25600,0.11458333333333333,1,19,0.21875,17,18.4451171875,0.0,0.07506551106770833,0.054107347569525524,0.12249873193842134,0.5573646818224094,0.8783837429864535,0.9384275665829411,0.5573646818224094,17.24140625,0.35919596354166666,0.0,0.26572102864583336,0.061015625,0.04154392124786927,0.1148208718448148,0.6681697154598123,0.8928781218628934,0.9446728515625,0.6681697154598123,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20292914,2.0,15,25600,0.07291666666666667,1,13,0.14583333333333334,14,18.089296875,0.0,0.07234375,0.05065519654756558,0.12647437028101938,0.5704946384472366,0.8870193595132578,0.9426036401165704,0.5704946384472366,16.61109375,0.346064453125,0.0,0.23755696614583333,0.056630859375,0.037131835735282503,0.11920992593912072,0.6866065728334647,0.9031830089865023,0.9495393880208334,0.6866065728334647,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20292914,2.0,16,25600,0.13541666666666666,1,19,0.22916666666666666,12,18.0240625,0.0,0.07158772786458334,0.05094088279073539,0.12035210593272506,0.5742704914031134,0.8900854714285653,0.9441260004533503,0.5742704914031134,16.48375,0.3434114583333333,0.0,0.25325846354166665,0.055856119791666665,0.03739788489873495,0.1102799413896815,0.6943897266058819,0.906748320047515,0.9514469401041666,0.6943897266058819,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20292914,2.0,17,25600,0.10416666666666667,1,16,0.23958333333333334,15,18.096484375,0.0,0.07300821940104167,0.05156528012923514,0.12494725922006308,0.5677944240983875,0.8839219884516543,0.9401627906124975,0.5677944240983875,16.29203125,0.33941731770833333,0.0,0.24266438802083334,0.05626627604166667,0.03714751766038336,0.11593434970119322,0.6926517574531711,0.9026471396534499,0.9482438151041667,0.6926517574531711,0.0,0.0
