size,EbNo_dB,control,reference,metric,contrast_definition,mean_difference,seed_batch_sd,seed_batch_sem,ci95_low,ci95_high,n_seed_batches,n_paired_trajectories
N192_M96,2.5,normalized,additive,late_state_BER,control_minus_additive,0.33162631835937495,0.006557228354735609,0.002073577673880307,0.3269358856610577,0.3363167510576922,10,200
N192_M96,2.5,normalized,additive,late_syndrome_weight_fraction,control_minus_additive,0.4547443033854167,0.003914063270816726,0.0012377354841789311,0.451944545720204,0.45754406105062945,10,200
N192_M96,2.5,normalized,additive,late_syndrome_zero_fraction,control_minus_additive,-0.945,0.049721446300587654,0.015723301886761003,-0.9805661088678533,-0.9094338911321466,10,200
N192_M96,2.5,pSA,additive,decoded_BER,control_minus_additive,0.27434895833333334,0.010266752544152165,0.0032466322212849263,0.26700507624878683,0.28169284041787984,10,200
N192_M96,2.5,pSA,additive,decoded_FER,control_minus_additive,0.9349999999999999,0.05797509043642028,0.01833333333333333,0.8935299999999999,0.97647,10,200
N192_M96,2.5,pSA,additive,late_backflip_rate,control_minus_additive,0.1436555269868321,0.0009061057149674864,0.0002865357860192579,0.14300738303885654,0.14430367093480764,10,200
N192_M96,2.5,pSA,additive,late_bit_flip_rate,control_minus_additive,0.19311710069444443,0.0007754980616853039,0.00024523401959713163,0.19256238134211573,0.19367182004677314,10,200
N192_M96,2.5,pSA,additive,late_q_lag1_cosine,control_minus_additive,-0.3316547303188849,0.0018120180390760587,0.0005730104164792334,-0.33295087988096095,-0.3303585807568089,10,200
N192_M96,2.5,pSA,additive,late_q_lag1_product,control_minus_additive,-0.5543057171502112,0.0036852502535266434,0.001165378454885716,-0.5569418032151626,-0.5516696310852597,10,200
N192_M96,2.5,pSA,additive,late_q_sign_persistence,control_minus_additive,-0.13979386935763888,0.0014263571761385736,0.0004510537433523865,-0.14081415292510197,-0.1387735857901758,10,200
N192_M96,2.5,pSA,additive,late_repair_rate,control_minus_additive,0.2499450722691203,0.00888552017941897,0.003358410952026945,0.24172704066951037,0.25816310386873026,7,13
N192_M96,2.5,pSA,additive,late_state_BER,control_minus_additive,0.31886537543402776,0.00649290741649044,0.0020532376072709304,0.31422095196638095,0.3235097989016746,10,200
N192_M96,2.5,pSA,additive,late_syndrome_weight_fraction,control_minus_additive,0.42698982204861113,0.0038025533612767106,0.001202472954596352,0.42426982822531417,0.4297098158719081,10,200
N192_M96,2.5,pSA,additive,late_syndrome_zero_fraction,control_minus_additive,-0.945,0.049721446300587654,0.015723301886761003,-0.9805661088678533,-0.9094338911321466,10,200
N192_M96,2.5,shuffled,additive,decoded_BER,control_minus_additive,0.3763020833333333,0.008239671857697433,0.0026056130242714678,0.37040818667243125,0.3821959799942354,10,200
N192_M96,2.5,shuffled,additive,decoded_FER,control_minus_additive,0.9349999999999999,0.05797509043642028,0.01833333333333333,0.8935299999999999,0.97647,10,200
N192_M96,2.5,shuffled,additive,late_backflip_rate,control_minus_additive,0.20354188444620527,0.00039653811487901845,0.00012539636220872024,0.20325823787488914,0.2038255310175214,10,200
N192_M96,2.5,shuffled,additive,late_bit_flip_rate,control_minus_additive,0.2447278537326389,0.0005654425758930493,0.0001788086425854653,0.24432338858311056,0.24513231888216722,10,200
N192_M96,2.5,shuffled,additive,late_q_lag1_cosine,control_minus_additive,-0.4160212557426637,0.0012511878497115765,0.000395660338581703,-0.4169162394285355,-0.41512627205679187,10,200
N192_M96,2.5,shuffled,additive,late_q_lag1_product,control_minus_additive,-0.6279276165893121,0.0036043910925109526,0.0011398085430357283,-0.6305058635136589,-0.6253493696649652,10,200
N192_M96,2.5,shuffled,additive,late_q_sign_persistence,control_minus_additive,-0.15970927191840278,0.0013699031750483784,0.00043320142070492194,-0.16068917353203732,-0.15872937030476825,10,200
N192_M96,2.5,shuffled,additive,late_repair_rate,control_minus_additive,0.26475576499075104,0.009561458175793326,0.0036138915006134914,0.2559125724887498,0.27359895749275226,7,13
N192_M96,2.5,shuffled,additive,late_state_BER,control_minus_additive,0.39018119032118054,0.0066227975985180335,0.0020943124893610366,0.3854438554702459,0.3949185251721152,10,200
N192_M96,2.5,shuffled,additive,late_syndrome_weight_fraction,control_minus_additive,0.47806606987847217,0.003955129939232096,0.0012507219049896776,0.4752369369293855,0.4808952028275588,10,200
N192_M96,2.5,shuffled,additive,late_syndrome_zero_fraction,control_minus_additive,-0.945,0.049721446300587654,0.015723301886761003,-0.9805661088678533,-0.9094338911321466,10,200
