size,code_id,public_code_id,realization_type,generation_seed,matrix_sha256,scope,EbNo_dB,comparison,method,comparator,method_BER,comparator_BER,absolute_BER_reduction,relative_BER_reduction,log10_BER_ratio,BER_method_better,BER_comparator_better,BER_tie,method_FER,comparator_FER,absolute_FER_reduction,relative_FER_reduction,log10_FER_ratio,FER_method_better,FER_comparator_better,FER_tie,bootstrap_unit
N192_M96,new_05,C05,new,2026082705,4ea281262c622c70d76661938eab2d916f7694f1bf7dea299149da971f273678,pooled_across_EbNo,,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.030784722222222224,0.283359375,0.2525746527777778,0.891358024691358,-0.9640023467284812,1,0,0,0.322,1.0,0.6779999999999999,0.6779999999999999,-0.4921441283041691,1,0,0,independent_code_realization
N192_M96,new_06,C06,new,2026082706,67e8bfd0a41ecfef822cd92b156dd8e32a73f66bfee63eb4d04a71ce3375d854,pooled_across_EbNo,,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.0069947916666666665,0.02998784722222222,0.022993055555555555,0.7667457882243964,-0.6321705056333835,1,0,0,0.061,0.31733333333333336,0.25633333333333336,0.8077731092436975,-0.7161858586540449,1,0,0,independent_code_realization
N192_M96,new_06,C06,new,2026082706,67e8bfd0a41ecfef822cd92b156dd8e32a73f66bfee63eb4d04a71ce3375d854,pooled_across_EbNo,,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.0069947916666666665,0.2814878472222222,0.27449305555555553,0.975150644208293,-1.6046848656724335,1,0,0,0.061,1.0,0.9390000000000001,0.9390000000000001,-1.214670164989233,1,0,0,independent_code_realization
N192_M96,new_06,C06,new,2026082706,67e8bfd0a41ecfef822cd92b156dd8e32a73f66bfee63eb4d04a71ce3375d854,pooled_across_EbNo,,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.02998784722222222,0.2814878472222222,0.2515,0.8934666362397233,-0.97251436003905,1,0,0,0.31733333333333336,1.0,0.6826666666666666,0.6826666666666666,-0.4984843063351881,1,0,0,independent_code_realization
N192_M96,new_07,C07,new,2026082707,1759b21eb9fa1782d48e0d0c0ab97ed858d26544d38040a70c8f6694ba2ce7c6,pooled_across_EbNo,,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.007538194444444445,0.02992534722222222,0.022387152777777777,0.7481000174044207,-0.598771862508414,1,0,0,0.059,0.31033333333333335,0.25133333333333335,0.8098818474758325,-0.720976414619536,1,0,0,independent_code_realization
N192_M96,new_07,C07,new,2026082707,1759b21eb9fa1782d48e0d0c0ab97ed858d26544d38040a70c8f6694ba2ce7c6,pooled_across_EbNo,,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.007538194444444445,0.2825972222222222,0.2750590277777778,0.973325305941908,-1.5739005529585757,1,0,0,0.059,1.0,0.9410000000000001,0.9410000000000001,-1.2291479883578558,1,0,0,independent_code_realization
N192_M96,new_07,C07,new,2026082707,1759b21eb9fa1782d48e0d0c0ab97ed858d26544d38040a70c8f6694ba2ce7c6,pooled_across_EbNo,,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.02992534722222222,0.2825972222222222,0.252671875,0.8941060107141101,-0.9751286904501617,1,0,0,0.31033333333333335,1.0,0.6896666666666667,0.6896666666666667,-0.5081715737383198,1,0,0,independent_code_realization
N192_M96,new_08,C08,new,2026082708,a4a46d3960db053cd1b0c23840b44bd8e7d714c5f4ed67f42cd97f630ecb7d54,pooled_across_EbNo,,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.007013888888888889,0.030335069444444446,0.023321180555555557,0.7687861271676301,-0.6359861118008331,1,0,0,0.05333333333333334,0.31766666666666665,0.2643333333333333,0.832109129066107,-0.7749729179824015,1,0,0,independent_code_realization
N192_M96,new_08,C08,new,2026082708,a4a46d3960db053cd1b0c23840b44bd8e7d714c5f4ed67f42cd97f630ecb7d54,pooled_across_EbNo,,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.007013888888888889,0.2820121527777778,0.2749982638888889,0.9751291253947636,-1.604308942130574,1,0,0,0.05333333333333334,1.0,0.9466666666666667,0.9466666666666667,-1.2730012720637376,1,0,0,independent_code_realization
N192_M96,new_08,C08,new,2026082708,a4a46d3960db053cd1b0c23840b44bd8e7d714c5f4ed67f42cd97f630ecb7d54,pooled_across_EbNo,,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.030335069444444446,0.2820121527777778,0.2516770833333334,0.8924334673323525,-0.9683228303297411,1,0,0,0.31766666666666665,1.0,0.6823333333333333,0.6823333333333333,-0.49802835408133606,1,0,0,independent_code_realization
N192_M96,new_09,C09,new,2026082709,ac816bd97c2b921526a9e4685f619835e38d4e341456d542de1acf214eaf5cbe,pooled_across_EbNo,,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.007333333333333333,0.03127083333333333,0.023937499999999997,0.765489673550966,-0.6298380287651394,1,0,0,0.056666666666666664,0.325,0.26833333333333337,0.8256410256410257,-0.7585556943202629,1,0,0,independent_code_realization
