stage,alpha,kw,rho,formula_index,formula_sha256,is_satisfiable,baseline_mean_selected_unsat_rate,treatment_mean_selected_unsat_rate,difference_treatment_minus_baseline_selected_rate,difference_treatment_minus_baseline_final_rate,difference_treatment_minus_baseline_success,difference_treatment_minus_baseline_convergence_cycle,difference_treatment_minus_baseline_objective
A,1.2,4.0,0.04,25,8d48d424dcf79cdc86e4ae8aeaf5811b23b37dc8c5bc47c1daefb53a680e8f47,True,0.00145,0.0015,5.000000000000013e-05,0.0002333333333333328,-0.03,-65.77000000000004,0.0030280766666666657
A,1.2,4.0,0.04,26,db813954ccedf890dd33a71aab5ec9ae396c378a2e112ff6b0cd1035a4c4de3e,True,0.0,0.0,0.0,0.0,0.0,36.57000000000002,1.218999999999526e-05
A,1.2,4.0,0.04,27,8cfe51a5a6ef051a69b48d051feebe17932eb75e66a19bd3aabb4877b2bb70cb,True,0.00018333333333333334,0.00028333333333333335,0.00010000000000000002,0.0005333333333333334,-0.06000000000000005,9.240000000000009,0.006103080000000011
A,1.2,4.0,0.04,28,43bf1ae940f48ba46da71ff48fbc108827cfdab30b880a818347646cdec6dee7,False,0.00285,0.002833333333333333,-1.6666666666667e-05,0.0006166666666666664,,48.450000000000045,-5.166666666670677e-07
A,1.2,4.0,0.04,29,86cc1d37d5c5be935822c121cd6fcd10d34c25c123dcd77d08a9414a3fd7cd75,False,0.0037666666666666664,0.00375,-1.6666666666666566e-05,0.0007500000000000007,,96.12000000000012,1.5373333333333107e-05
A,1.2,4.0,0.06,0,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,0.00028333333333333335,0.00039999999999999996,0.00011666666666666661,0.0011666666666666668,-0.06999999999999995,30.889999999999873,0.007126963333333333
A,1.2,4.0,0.06,1,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,False,0.003933333333333333,0.004033333333333333,0.00010000000000000026,0.0009499999999999977,,-2.9700000000000273,9.901000000000007e-05
A,1.2,4.0,0.06,2,833410b8e4a70b136dda7b89f3f0aac79596e6f8fdb43f851ddeb4fce8d5ee6f,False,0.003683333333333333,0.0037833333333333334,0.00010000000000000026,0.0005500000000000001,,128.66000000000008,0.00014288666666666637
A,1.2,4.0,0.06,3,ff45cf07b0db6431caf1ac127754bb58f3cd66d97b63a98b11d73e129bfdc154,False,0.0033499999999999997,0.0035166666666666666,0.00016666666666666696,0.0006666666666666661,,67.31000000000006,0.00018910333333333265
A,1.2,4.0,0.06,4,1136a3e30b479506765af8d183d1e027ee45abfa48525e78d8cbcc4b7c7337d5,False,0.0036333333333333335,0.003683333333333333,4.99999999999997e-05,0.0009833333333333309,,126.45999999999992,0.0005088200000000001
A,1.2,4.0,0.06,5,14543b9f6b7ade3455cd172c107f42b6368fbcdbbd1c821c6a6741731dc999bb,True,0.00115,0.0011833333333333333,3.333333333333335e-05,0.0011499999999999991,-0.020000000000000018,50.059999999999945,0.0020500200000000066
A,1.2,4.0,0.06,6,46636fa878f018a3a4254af5ba92a0a1ab3155960a91c43744de2d8c78df03f5,True,0.0005333333333333334,0.0006333333333333333,9.999999999999994e-05,0.0007166666666666662,-0.06000000000000005,-74.28000000000009,0.0060752400000000095
A,1.2,4.0,0.06,7,68250a298d025f889db3dcc95f417ef7bcef2a6a7e93deec39af39648ec359b0,False,0.006333333333333333,0.0063,-3.333333333333313e-05,0.000383333333333331,,3.019999999999982,-3.232666666666637e-05
A,1.2,4.0,0.06,8,049ae08fa4cba4b924929611ad2e498a9ee291c356920097338b16d4526a6dd9,True,0.0007166666666666667,0.0008833333333333334,0.00016666666666666674,0.0010666666666666663,-0.08999999999999997,6.889999999999873,0.009168963333333328
A,1.2,4.0,0.06,9,d5f82f16d0b7213e8e2f02ed43ca07d06f3892cbff83b3d81592596852252bbf,False,0.0024333333333333334,0.002416666666666667,-1.6666666666666566e-05,0.0006833333333333344,,11.279999999999973,-1.2906666666666344e-05
A,1.2,4.0,0.06,10,d344cd79ba6f51e737dbe5ff4b556389b928e7085bd5ee9ae9ddc3334372a7f3,False,0.005216666666666666,0.005333333333333334,0.0001166666666666677,0.0009833333333333343,,105.70999999999992,0.00015190333333333413
A,1.2,4.0,0.06,11,3bba770c518f7e188e93ed9f84338f94582857feeee5deb1b08f45b4d3494325,False,0.0016666666666666668,0.0016666666666666668,0.0,0.0005833333333333333,,118.02999999999997,3.9343333333333435e-05
A,1.2,4.0,0.06,12,ed09258602005c277e7faaabf77244f736681e8e94cfc2b99dfb414735263b1f,True,0.0,0.0,0.0,0.0,0.0,23.140000000000043,7.713333333339567e-06
A,1.2,4.0,0.06,13,5358efb19444e9ca1337e6a91cac0a0bf19f0ba41f94a8206eb8d4b1c5c7f667,False,0.004050000000000001,0.004016666666666667,-3.3333333333334e-05,0.0003666666666666679,,78.17999999999995,-7.2733333333335065e-06
A,1.2,4.0,0.06,14,70044a0a96d5238e57f750b24ae3f8095e82b3c8e1597a9bb56d17aad082b75d,False,0.0029666666666666665,0.0030166666666666666,5.000000000000013e-05,0.0004833333333333339,,10.259999999999991,5.3420000000000203e-05
A,1.2,4.0,0.06,15,3e7878f410def7d62f3dd65ddc530b8cda7bf923e8974170752484b08bc1611c,False,0.0018666666666666669,0.0019666666666666665,9.999999999999961e-05,0.0002666666666666668,,41.47000000000003,0.00011382333333333303
A,1.2,4.0,0.06,16,651f6d237eb3f6c3c19c627b8f42e468443477ff75012b18d2c14fbbfd2c2edf,True,0.0016666666666666668,0.0016666666666666668,0.0,0.0003499999999999996,0.0,47.04000000000002,1.568000000000012e-05
A,1.2,4.0,0.06,17,df751b4a39788cd788947a4faf6dad7b2d2a191912bdc7f5a2a5d932b755cbc1,False,0.0033333333333333335,0.0033333333333333335,0.0,0.0008833333333333332,,35.98000000000002,1.1993333333333231e-05
A,1.2,4.0,0.06,18,309a3f0b179914fc4d44542f7a5fa7a25100dc46b126999d83a5a8c4f4dfb1a2,False,0.0016666666666666668,0.0016666666666666668,0.0,0.0005833333333333315,,75.90999999999997,2.530333333333355e-05
A,1.2,4.0,0.06,19,6ca2d893d357e6222af6d6744d455a09287e8f432ee4569741dc22fd147e637f,True,0.0011,0.0012166666666666667,0.00011666666666666661,0.0011499999999999991,-0.040000000000000036,192.08999999999992,0.004180696666666678
A,1.2,4.0,0.06,20,c5841a04765dfc844d644a881f22c1ab9b87ad797f42f244210a24d2b49b2246,True,4.9999999999999996e-05,6.666666666666667e-05,1.6666666666666674e-05,5.000000000000002e-05,-0.010000000000000009,-9.690000000000055,0.0010134366666666728
A,1.2,4.0,0.06,21,8f8adb312a98d2375b54828fbabff59932b9ea3e3906870a085ebb707bd7689b,True,0.0015500000000000002,0.0013833333333333332,-0.00016666666666666696,-0.0009333333333333329,0.09000000000000001,64.61000000000001,-0.009145130000000001
A,1.2,4.0,0.06,22,aa999d8a05a6521a5c6b2f035f876034928828a6f6c1f9b28f4eca4dbf40ef08,False,0.003833333333333333,0.0038166666666666666,-1.6666666666666566e-05,0.00035000000000000135,,77.24000000000001,9.079999999999852e-06
A,1.2,4.0,0.06,23,27f8863b01a77516c42eeb40dac09aa0a14207dcb396d706bb21bfb99cbbfb9f,True,0.0016166666666666666,0.0016333333333333332,1.6666666666666566e-05,0.0009000000000000015,-0.009999999999999998,54.60000000000002,0.0010348666666666665
A,1.2,4.0,0.06,24,3894bb0653e690843f3c6cd71b0b1c91a18996e24743aff1d3a356df14743dc9,False,0.00205,0.0021666666666666666,0.0001166666666666664,0.00035000000000000135,,63.76999999999998,0.00013792333333333302
A,1.2,4.0,0.06,25,8d48d424dcf79cdc86e4ae8aeaf5811b23b37dc8c5bc47c1daefb53a680e8f47,True,0.00145,0.0015500000000000002,0.00010000000000000026,0.0008499999999999992,-0.06,-40.420000000000016,0.006086526666666667
A,1.2,4.0,0.06,26,db813954ccedf890dd33a71aab5ec9ae396c378a2e112ff6b0cd1035a4c4de3e,True,0.0,0.0,0.0,0.0,0.0,45.24000000000001,1.5080000000000648e-05
A,1.2,4.0,0.06,27,8cfe51a5a6ef051a69b48d051feebe17932eb75e66a19bd3aabb4877b2bb70cb,True,0.00018333333333333334,0.00028333333333333335,0.00010000000000000002,0.0010666666666666667,-0.06000000000000005,124.88,0.0061416266666666774
A,1.2,4.0,0.06,28,43bf1ae940f48ba46da71ff48fbc108827cfdab30b880a818347646cdec6dee7,False,0.00285,0.0028666666666666667,1.6666666666666566e-05,0.0006833333333333327,,114.92000000000007,5.4973333333332985e-05
A,1.2,4.0,0.06,29,86cc1d37d5c5be935822c121cd6fcd10d34c25c123dcd77d08a9414a3fd7cd75,False,0.0037666666666666664,0.0037166666666666667,-4.99999999999997e-05,0.0008999999999999998,,131.18000000000006,-6.273333333333374e-06
A,1.2,4.0,0.08,0,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,0.00028333333333333335,0.0005,0.00021666666666666666,0.0015000000000000002,-0.13,-10.090000000000146,0.013213303333333357
