stage,alpha,formula_index,formula_generation_seed,formula_sha256,is_satisfiable,kw,rho,trial_index,trial_seed,n_cycles,selected_unsat,best_unsat,final_unsat,selected_unsat_rate,best_unsat_rate,final_unsat_rate,success,convergence_cycle,first_hit_cycle,selected_energy,best_energy
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,68,137000068,3000,0,0,0,0.0,0.0,0.0,1,1378,1378,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,69,137000069,3000,0,0,0,0.0,0.0,0.0,1,619,619,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,70,137000070,3000,0,0,0,0.0,0.0,0.0,1,2641,2641,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,71,137000071,3000,0,0,0,0.0,0.0,0.0,1,1524,1524,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,72,137000072,3000,0,0,0,0.0,0.0,0.0,1,542,542,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,73,137000073,3000,0,0,0,0.0,0.0,0.0,1,358,358,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,74,137000074,3000,0,0,0,0.0,0.0,0.0,1,451,451,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,75,137000075,3000,0,0,0,0.0,0.0,0.0,1,1073,1073,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,76,137000076,3000,0,0,0,0.0,0.0,0.0,1,1632,1632,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,77,137000077,3000,1,1,6,0.0016666666666666668,0.0016666666666666668,0.01,0,592,,1.0,1.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,78,137000078,3000,0,0,0,0.0,0.0,0.0,1,793,793,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,79,137000079,3000,1,1,8,0.0016666666666666668,0.0016666666666666668,0.013333333333333334,0,232,,1.0,1.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,80,137000080,3000,0,0,0,0.0,0.0,0.0,1,1395,1395,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,81,137000081,3000,0,0,0,0.0,0.0,0.0,1,625,625,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,82,137000082,3000,0,0,0,0.0,0.0,0.0,1,1845,1845,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,83,137000083,3000,0,0,0,0.0,0.0,0.0,1,2029,2029,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,84,137000084,3000,0,0,0,0.0,0.0,0.0,1,266,266,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,85,137000085,3000,0,0,0,0.0,0.0,0.0,1,826,826,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,86,137000086,3000,0,0,0,0.0,0.0,0.0,1,681,681,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,87,137000087,3000,0,0,0,0.0,0.0,0.0,1,595,595,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,88,137000088,3000,0,0,0,0.0,0.0,0.0,1,1587,1587,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,89,137000089,3000,0,0,0,0.0,0.0,0.0,1,1692,1692,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,90,137000090,3000,1,1,5,0.0016666666666666668,0.0016666666666666668,0.008333333333333333,0,494,,1.0,1.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,91,137000091,3000,0,0,0,0.0,0.0,0.0,1,1944,1944,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,92,137000092,3000,0,0,0,0.0,0.0,0.0,1,826,826,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,93,137000093,3000,1,1,3,0.0016666666666666668,0.0016666666666666668,0.005,0,132,,1.0,1.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,94,137000094,3000,0,0,0,0.0,0.0,0.0,1,333,333,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,95,137000095,3000,0,0,0,0.0,0.0,0.0,1,1810,1810,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,96,137000096,3000,0,0,0,0.0,0.0,0.0,1,1466,1466,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,97,137000097,3000,0,0,0,0.0,0.0,0.0,1,2197,2197,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,98,137000098,3000,0,0,0,0.0,0.0,0.0,1,173,173,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,99,137000099,3000,1,1,6,0.0016666666666666668,0.0016666666666666668,0.01,0,633,,1.0,1.0
A,1.2,1,3703,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,False,4.0,0.0,0,137001000,3000,2,2,6,0.0033333333333333335,0.0033333333333333335,0.01,0,1622,,2.0,2.0
A,1.2,1,3703,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,False,4.0,0.0,1,137001001,3000,2,2,5,0.0033333333333333335,0.0033333333333333335,0.008333333333333333,0,533,,2.0,2.0
A,1.2,1,3703,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,False,4.0,0.0,2,137001002,3000,2,2,7,0.0033333333333333335,0.0033333333333333335,0.011666666666666667,0,69,,2.0,2.0
A,1.2,1,3703,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,False,4.0,0.0,3,137001003,3000,2,2,4,0.0033333333333333335,0.0033333333333333335,0.006666666666666667,0,1853,,2.0,2.0
