stage,alpha,formula_index,formula_generation_seed,formula_sha256,is_satisfiable,n_variables,n_clauses,kw,rho,n_trials,n_cycles,mean_selected_unsat,mean_selected_unsat_rate,mean_best_unsat,mean_best_unsat_rate,mean_final_unsat,mean_final_unsat_rate,best_trial_unsat,best_trial_unsat_rate,success_rate_sat,mean_convergence_cycle,mean_first_hit_cycle_successful,formula_objective
A,1.2,5,11715,14543b9f6b7ade3455cd172c107f42b6368fbcdbbd1c821c6a6741731dc999bb,True,500,600,4.0,0.04,100,3000,0.69,0.00115,0.69,0.00115,4.39,0.007316666666666666,0,0.0,0.31,760.35,1208.6129032258063,-0.029596550000000003
A,1.2,6,13718,46636fa878f018a3a4254af5ba92a0a1ab3155960a91c43744de2d8c78df03f5,True,500,600,4.0,0.04,100,3000,0.31,0.0005166666666666667,0.31,0.0005166666666666667,1.92,0.0031999999999999997,0,0.0,0.69,1027.2,1291.6376811594203,-0.06814093333333332
A,1.2,7,15721,68250a298d025f889db3dcc95f417ef7bcef2a6a7e93deec39af39648ec359b0,False,500,600,4.0,0.04,100,3000,3.76,0.006266666666666666,3.76,0.006266666666666666,8.51,0.014183333333333333,3,0.005,,728.57,,0.007759523333333333
A,1.2,8,17724,049ae08fa4cba4b924929611ad2e498a9ee291c356920097338b16d4526a6dd9,True,500,600,4.0,0.04,100,3000,0.5,0.0008333333333333334,0.5,0.0008333333333333334,3.27,0.00545,0,0.0,0.5,1054.25,1403.52,-0.048815250000000004
A,1.2,9,19727,d5f82f16d0b7213e8e2f02ed43ca07d06f3892cbff83b3d81592596852252bbf,False,500,600,4.0,0.04,100,3000,1.43,0.0023833333333333332,1.43,0.0023833333333333332,6.9,0.0115,1,0.0016666666666666668,,1228.68,,0.00320956
A,1.2,10,21730,d344cd79ba6f51e737dbe5ff4b556389b928e7085bd5ee9ae9ddc3334372a7f3,False,500,600,4.0,0.04,100,3000,3.18,0.0053,3.18,0.0053,8.38,0.013966666666666667,2,0.0033333333333333335,,979.26,,0.0064597533333333335
A,1.2,11,23733,3bba770c518f7e188e93ed9f84338f94582857feeee5deb1b08f45b4d3494325,False,500,600,4.0,0.04,100,3000,1.01,0.0016833333333333333,1.01,0.0016833333333333333,6.43,0.010716666666666666,1,0.0016666666666666668,,596.18,,0.0022987266666666664
A,1.2,12,25736,ed09258602005c277e7faaabf77244f736681e8e94cfc2b99dfb414735263b1f,True,500,600,4.0,0.04,100,3000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,311.82,311.82,-0.09989606000000001
A,1.2,13,27739,5358efb19444e9ca1337e6a91cac0a0bf19f0ba41f94a8206eb8d4b1c5c7f667,False,500,600,4.0,0.04,100,3000,2.41,0.004016666666666667,2.41,0.004016666666666667,7.23,0.01205,2,0.0033333333333333335,,804.2,,0.005118066666666666
A,1.2,14,29742,70044a0a96d5238e57f750b24ae3f8095e82b3c8e1597a9bb56d17aad082b75d,False,500,600,4.0,0.04,100,3000,1.83,0.00305,1.83,0.00305,7.05,0.01175,1,0.0016666666666666668,,500.58,,0.003633526666666667
A,1.2,15,31745,3e7878f410def7d62f3dd65ddc530b8cda7bf923e8974170752484b08bc1611c,False,500,600,4.0,0.04,100,3000,1.15,0.0019166666666666666,1.15,0.0019166666666666666,6.18,0.0103,1,0.0016666666666666668,,982.89,,0.002660963333333333
A,1.2,16,33748,651f6d237eb3f6c3c19c627b8f42e468443477ff75012b18d2c14fbbfd2c2edf,True,500,600,4.0,0.04,100,3000,1.0,0.0016666666666666668,1.0,0.0016666666666666668,5.75,0.009583333333333333,1,0.0016666666666666668,0.0,397.24,,0.0022157466666666665
A,1.2,17,35751,df751b4a39788cd788947a4faf6dad7b2d2a191912bdc7f5a2a5d932b755cbc1,False,500,600,4.0,0.04,100,3000,2.0,0.0033333333333333335,2.0,0.0033333333333333335,6.99,0.01165,2,0.0033333333333333335,,560.91,,0.0043536366666666665
A,1.2,18,37754,309a3f0b179914fc4d44542f7a5fa7a25100dc46b126999d83a5a8c4f4dfb1a2,False,500,600,4.0,0.04,100,3000,1.0,0.0016666666666666668,1.0,0.0016666666666666668,6.26,0.010433333333333333,1,0.0016666666666666668,,365.68,,0.0022052266666666666
A,1.2,19,39757,6ca2d893d357e6222af6d6744d455a09287e8f432ee4569741dc22fd147e637f,True,500,600,4.0,0.04,100,3000,0.75,0.00125,0.75,0.00125,4.82,0.008033333333333333,0,0.0,0.3,1132.25,1443.9666666666667,-0.02837258333333333
A,1.2,20,41760,c5841a04765dfc844d644a881f22c1ab9b87ad797f42f244210a24d2b49b2246,True,500,600,4.0,0.04,100,3000,0.02,3.3333333333333335e-05,0.02,3.3333333333333335e-05,0.15,0.00025,0,0.0,0.98,661.2,672.1224489795918,-0.09774626666666668
A,1.2,21,43763,8f8adb312a98d2375b54828fbabff59932b9ea3e3906870a085ebb707bd7689b,True,500,600,4.0,0.04,100,3000,0.9,0.0015,0.9,0.0015,5.53,0.009216666666666666,0,0.0,0.1,568.1,1067.4,-0.008310633333333336
A,1.2,22,45766,aa999d8a05a6521a5c6b2f035f876034928828a6f6c1f9b28f4eca4dbf40ef08,False,500,600,4.0,0.04,100,3000,2.31,0.00385,2.31,0.00385,7.38,0.0123,2,0.0033333333333333335,,917.23,,0.004989076666666667
A,1.2,23,47769,27f8863b01a77516c42eeb40dac09aa0a14207dcb396d706bb21bfb99cbbfb9f,True,500,600,4.0,0.04,100,3000,1.0,0.0016666666666666668,1.0,0.0016666666666666668,6.13,0.010216666666666667,0,0.0,0.01,541.41,2780.0,0.0008471366666666667
A,1.2,24,49772,3894bb0653e690843f3c6cd71b0b1c91a18996e24743aff1d3a356df14743dc9,False,500,600,4.0,0.04,100,3000,1.27,0.002116666666666667,1.27,0.002116666666666667,6.78,0.011300000000000001,1,0.0016666666666666668,,1331.23,,0.002977076666666667
A,1.2,25,51775,8d48d424dcf79cdc86e4ae8aeaf5811b23b37dc8c5bc47c1daefb53a680e8f47,True,500,600,4.0,0.04,100,3000,0.9,0.0015,0.9,0.0015,4.72,0.007866666666666666,0,0.0,0.1,269.15,1236.2,-0.008410283333333336
A,1.2,26,53778,db813954ccedf890dd33a71aab5ec9ae396c378a2e112ff6b0cd1035a4c4de3e,True,500,600,4.0,0.04,100,3000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,227.08,227.08,-0.09992430666666667
A,1.2,27,55781,8cfe51a5a6ef051a69b48d051feebe17932eb75e66a19bd3aabb4877b2bb70cb,True,500,600,4.0,0.04,100,3000,0.17,0.00028333333333333335,0.17,0.00028333333333333335,0.92,0.0015333333333333334,0,0.0,0.83,1022.66,1075.3253012048192,-0.08237578000000001
A,1.2,28,57784,43bf1ae940f48ba46da71ff48fbc108827cfdab30b880a818347646cdec6dee7,False,500,600,4.0,0.04,100,3000,1.7,0.002833333333333333,1.7,0.002833333333333333,6.76,0.011266666666666666,1,0.0016666666666666668,,673.38,,0.00347446
A,1.2,29,59787,86cc1d37d5c5be935822c121cd6fcd10d34c25c123dcd77d08a9414a3fd7cd75,False,500,600,4.0,0.04,100,3000,2.25,0.00375,2.25,0.00375,7.36,0.012266666666666667,2,0.0033333333333333335,,1071.91,,0.004940636666666666
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,500,600,4.0,0.06,100,3000,0.24,0.00039999999999999996,0.24,0.00039999999999999996,1.59,0.00265,0,0.0,0.76,1166.58,1368.2236842105262,-0.07521114000000001
A,1.2,1,3703,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,False,500,600,4.0,0.06,100,3000,2.42,0.004033333333333333,2.42,0.004033333333333333,8.29,0.013816666666666665,2,0.0033333333333333335,,979.65,,0.005193216666666667
A,1.2,2,5706,833410b8e4a70b136dda7b89f3f0aac79596e6f8fdb43f851ddeb4fce8d5ee6f,False,500,600,4.0,0.06,100,3000,2.27,0.0037833333333333334,2.27,0.0037833333333333334,7.83,0.01305,2,0.0033333333333333335,,836.59,,0.0048955299999999995
